Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Charles & Colvard,647622,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0045,137.2,Pear,0.45,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647620,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0052,186.9,Pear,0.52,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647623,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0052,158.2,Pear,0.52,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647621,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0084,352.1,Pear,0.84,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647624,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0084,293.3,Pear,0.84,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647646,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0054,461.3,Oval,0.54,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647649,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0054,370.3,Oval,0.54,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647647,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0072,494.9,Oval,0.72,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647650,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0072,408.1,Oval,0.72,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647648,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0110,690.2,Oval,1.1,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647651,https://www.charlesandcolvard.com/oval-rose-cut-moissanite-gemstone-101214-zz-zzz-zz-ov-m-0110,571.2,Oval,1.1,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647670,https://www.charlesandcolvard.com/marquise-rose-cut-moissanite-gemstone-101215-zz-zzz-zz-mq-m-0033,100.8,Marquise,0.33,DEF,Rose Cut,,,Lab Grown
