Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,16960838A,https://www.brilliantearth.com/3.09-Ct.-Fancy-Intense-Yellow-Emerald-Lab-Grown-Diamond-16960838A/,5100,Emerald,3.09,yellow,,VS1,,Lab Grown
Brilliant Earth,17941159A,https://www.brilliantearth.com/1.00-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17941159A/,1740,Pear,1,pink,,VVS2,,Lab Grown
Brilliant Earth,17943250A,https://www.brilliantearth.com/0.35-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-17943250A/,460,Pear,0.35,pink,,VS1,,Lab Grown
Brilliant Earth,17944395A,https://www.brilliantearth.com/0.70-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17944395A/,980,Pear,0.7,pink,,VS2,,Lab Grown
Brilliant Earth,14395462Y,https://www.brilliantearth.com/1.01-Ct.-Fancy-Intense-Yellow-Radiant-Lab-Grown-Diamond-14395462Y/,1290,Radiant,1.01,yellow,,VS1,,Lab Grown
Brilliant Earth,15352892A,https://www.brilliantearth.com/4.00-Ct.-Fancy-Vivid-Green-Round-Lab-Grown-Diamond-15352892A/,8610,Round,4,green,,SI2,,Lab Grown
Brilliant Earth,17950894A,https://www.brilliantearth.com/1.71-Ct.-Fancy-Vivid-Green-Marquise-Lab-Grown-Diamond-17950894A/,3110,Marquise,1.71,green,,VS1,,Lab Grown
Brilliant Earth,14690786A,https://www.brilliantearth.com/1.07-Ct.-Fancy-Vivid-Blue-Pear-Lab-Grown-Diamond-14690786A/,1180,Pear,1.07,blue,,VVS2,,Lab Grown
Brilliant Earth,15595982A,https://www.brilliantearth.com/1.54-Ct.-Fancy-Vivid-Green-Oval-Lab-Grown-Diamond-15595982A/,2750,Oval,1.54,green,,VS1,,Lab Grown
Brilliant Earth,16898243A,https://www.brilliantearth.com/2.07-Ct.-Fancy-Vivid-Blue-Green-Round-Lab-Grown-Diamond-16898243A/,3820,Round,2.07,green,,VS1,,Lab Grown
Brilliant Earth,17948245A,https://www.brilliantearth.com/0.52-Ct.-Fancy-Vivid-Green-Marquise-Lab-Grown-Diamond-17948245A/,760,Marquise,0.52,green,,VVS2,,Lab Grown
Brilliant Earth,15183172A,https://www.brilliantearth.com/1.62-Ct.-Fancy-Vivid-Green-Pear-Lab-Grown-Diamond-15183172A/,3040,Pear,1.62,green,,VS1,,Lab Grown
Brilliant Earth,16898329A,https://www.brilliantearth.com/1.04-Ct.-Fancy-Light-Yellow-Round-Lab-Grown-Diamond-16898329A/,1330,Round,1.04,yellow,,VVS2,,Lab Grown
Brilliant Earth,18462271A,https://www.brilliantearth.com/3.01-Ct.-Fancy-Intense-Pink-Round-Lab-Grown-Diamond-18462271A/,6090,Round,3.01,pink,,VS2,,Lab Grown
Brilliant Earth,16113217Y,https://www.brilliantearth.com/1.02-Ct.-Fancy-Vivid-Pink-Radiant-Lab-Grown-Diamond-16113217Y/,1520,Radiant,1.02,pink,,VS1,,Lab Grown
