Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Fluorescence,Polish Grade,Symmetry Grade,Depth (%),Table,Girdle,Culet,Width,Height,Depth,Grading Lab,Grading Certificate ID,Grading Link,Origin,360 Video Link
Brilliant Earth,18361550A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608758/,550,Round,0.26,F,Super Ideal,VVS2,None,Excellent,Excellent,61.5,57,"Medium - Slightly Thick, Faceted",None,4.15,4.12,2.54,GIA,3545861252,https://www.gia.edu/report-check?reportno=3545861252,Mined,
Brilliant Earth,18362116A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608537/,550,Round,0.27,G,Super Ideal,VS2,None,Excellent,Excellent,61.8,57,"Medium, Faceted",None,4.21,4.18,2.59,GIA,7541840139,https://www.gia.edu/report-check?reportno=7541840139,Mined,
Brilliant Earth,18361797A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608679/,550,Round,0.27,G,Super Ideal,VVS2,None,Excellent,Excellent,61.3,58,"Medium - Slightly Thick, Faceted",None,4.16,4.14,2.54,GIA,2547861722,https://www.gia.edu/report-check?reportno=2547861722,Mined,
Brilliant Earth,18361390A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608661/,550,Round,0.26,D,Super Ideal,VS2,Faint,Excellent,Excellent,62.1,58,"Medium - Slightly Thick, Faceted",None,4.09,4.06,2.53,GIA,2546910982,https://www.gia.edu/report-check?reportno=2546910982,Mined,
Brilliant Earth,18362486A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608485/,550,Round,0.29,F,Super Ideal,VVS2,None,Excellent,Excellent,61.6,59,"Medium - Slightly Thick, Faceted",None,4.28,4.27,2.63,GIA,2544892266,https://www.gia.edu/report-check?reportno=2544892266,Mined,
Brilliant Earth,18361543A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608054/,550,Round,0.28,G,Super Ideal,VVS2,None,Excellent,Excellent,61.7,58,"Medium, Faceted",None,4.2,4.19,2.59,GIA,7546910763,https://www.gia.edu/report-check?reportno=7546910763,Mined,
Brilliant Earth,18361349A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608389/,550,Round,0.28,G,Super Ideal,VVS2,None,Excellent,Excellent,62,59,"Medium - Slightly Thick, Faceted",None,4.2,4.18,2.6,GIA,6542870036,https://www.gia.edu/report-check?reportno=6542870036,Mined,
Brilliant Earth,18361419A,https://www.brilliantearth.com/loose-diamonds/view_detail/76608762/,550,Round,0.28,E,Super Ideal,VS1,None,Excellent,Excellent,60.2,59,"Medium - Slightly Thick, Faceted",None,4.28,4.25,2.57,GIA,1545911977,https://www.gia.edu/report-check?reportno=1545911977,Mined,
Brilliant Earth,18362190A,https://www.brilliantearth.com/loose-diamonds/view_detail/76610263/,550,Round,0.28,G,Super Ideal,VS1,None,Excellent,Excellent,60.4,60,"Medium - Slightly Thick, Faceted",None,4.26,4.24,2.57,GIA,5543863070,https://www.gia.edu/report-check?reportno=5543863070,Mined,
Brilliant Earth,18361918A,https://www.brilliantearth.com/loose-diamonds/view_detail/76610353/,550,Round,0.28,E,Super Ideal,VS1,None,Excellent,Excellent,61.7,60,"Medium - Slightly Thick, Faceted",None,4.22,4.2,2.6,GIA,1543854533,https://www.gia.edu/report-check?reportno=1543854533,Mined,
